,Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,3/10/2004,18:00:00,0.5369101257216307,1.0064956926980255,0.292523465997012,0.4505515458732481,0.17512917385941174,0.8458164630442518,0.3213324993728949,0.6630584728503234,0.6508492782761517,0.42761765466009893,0.08173131502786314,0.513874382479179
1,3/10/2004,19:00:00,0.15085469182993283,0.7807547294818866,0.03819143936496138,0.16499851464201484,0.4681773755459868,1.2400168633176072,0.020261251664616634,0.36176848769595543,0.024871671529306635,0.4596783569601909,0.020109308282311153,0.5867958911721471
2,3/10/2004,20:00:00,0.27953983646049885,1.1459239346844645,0.09110582422287716,0.11479138827168814,0.33793373035195345,1.126433697137149,0.33759886846991927,0.35270713475898197,0.20797811522797968,0.609294967693954,0.34362484369646007,0.5310323845245833
3,3/10/2004,21:00:00,0.27953983646049885,1.0596112134547642,0.06464863179391939,0.14303289685499693,0.14721982131783315,0.9660809919412078,0.4677298212461141,0.41840194355203963,0.5024646102445477,0.7054770745942301,0.6517348774242211,0.4486288220696813
4,3/10/2004,22:00:00,0.10651559743119897,0.7143603285359633,0.42182072958485056,0.20841698773729012,0.33793373035195345,1.3435779854233192,0.37013160666396794,0.20546014953316305,0.2901603929070219,0.6841032730608355,0.6311942085090371,0.44388779518871435
5,3/10/2004,23:00:00,0.3638858866923309,0.4653813249887512,0.6599354614454714,0.47828029197779626,0.5332991981430035,1.7845479247121574,0.0448042247234808,0.014277659188443622,0.07737701560202806,0.6841032730608355,0.610653539593853,0.45291832258103215
6,3/11/2004,0:00:00,0.3638858866923309,0.42554468442119725,0.8054500198047397,0.6665570158665214,0.6588912845801072,2.202133094493254,0.264256788119982,0.1501979532430457,0.5704706816762815,0.6734163722941381,0.4874095261027484,0.5082303028589803
7,3/11/2004,1:00:00,0.4925710313228968,0.2628784021036853,0.8451358084481765,0.723040033033139,0.6588912845801072,2.172066962269015,0.2805231572170064,0.1501979532430457,0.5773192048162016,0.7375377768943223,0.6517348774242211,0.4858797475629931
8,3/11/2004,2:00:00,0.5569136036381798,0.1234501601172465,0.9774217705929659,0.9207305931163005,0.7379677834479131,2.592992813408361,0.5407850627693961,0.2793222325949177,0.8284317199466085,0.7375377768943223,0.6363293757378332,0.4980709595426224
9,3/11/2004,3:00:00,0.7499413205840286,0.15540632385563113,1.0567933478798395,1.0713519722272806,0.9472879275097525,3.013918664547706,1.5167672085908577,0.37220110019889574,1.1000898044967757,0.7802853799611116,0.6620052118818133,0.527645936752464
